"","state_abb","year","population"
"1","AL","2000",4452173
"2","AK","2000",627963
"3","AZ","2000",5160586
"4","AR","2000",2678588
"5","CA","2000",33987977
"6","CO","2000",4326921
"7","CT","2000",3411777
"8","DE","2000",786373
"9","DC","2000",572046
"10","FL","2000",16047515
"11","GA","2000",8227303
"12","HI","2000",1213519
"13","ID","2000",1299430
"14","IL","2000",12434161
"15","IN","2000",6091866
"16","IA","2000",2929067
"17","KS","2000",2693681
"18","KY","2000",4049021
"19","LA","2000",4471885
"20","ME","2000",1277072
"21","MD","2000",5311034
"22","MA","2000",6361104
"23","MI","2000",9952450
"24","MN","2000",4933692
"25","MS","2000",2848353
"26","MO","2000",5607285
"27","MT","2000",903773
"28","NE","2000",1713820
"29","NV","2000",2018741
"30","NH","2000",1239882
"31","NJ","2000",8430621
"32","NM","2000",1821204
"33","NY","2000",19001780
"34","NC","2000",8081614
"35","ND","2000",642023
"36","OH","2000",11363543
"37","OK","2000",3454365
"38","OR","2000",3429708
"39","PA","2000",12284173
"40","RI","2000",1050268
"41","SC","2000",4024223
"42","SD","2000",755844
"43","TN","2000",5703719
"44","TX","2000",20944499
"45","UT","2000",2244502
"46","VT","2000",609618
"47","VA","2000",7105817
"48","WA","2000",5910512
"49","WV","2000",1807021
"50","WI","2000",5373999
"51","WY","2000",494300
"52","AL","2001",4467634
"53","AK","2001",633714
"54","AZ","2001",5273477
"55","AR","2001",2691571
"56","CA","2001",34479458
"57","CO","2001",4425687
"58","CT","2001",3432835
"59","DE","2001",795699
"60","DC","2001",574504
"61","FL","2001",16356966
"62","GA","2001",8377038
"63","HI","2001",1225948
"64","ID","2001",1319962
"65","IL","2001",12488445
"66","IN","2001",6127760
"67","IA","2001",2931997
"68","KS","2001",2702162
"69","KY","2001",4068132
"70","LA","2001",4477875
"71","ME","2001",1285692
"72","MD","2001",5374691
"73","MA","2001",6397634
"74","MI","2001",9991120
"75","MN","2001",4982796
"76","MS","2001",2852994
"77","MO","2001",5641142
"78","MT","2001",906961
"79","NE","2001",1719836
"80","NV","2001",2098399
"81","NH","2001",1255517
"82","NJ","2001",8492671
"83","NM","2001",1831690
"84","NY","2001",19082838
"85","NC","2001",8210122
"86","ND","2001",639062
"87","OH","2001",11387404
"88","OK","2001",3467100
"89","OR","2001",3467937
"90","PA","2001",12298970
"91","RI","2001",1057142
"92","SC","2001",4064995
"93","SD","2001",757972
"94","TN","2001",5750789
"95","TX","2001",21319622
"96","UT","2001",2283715
"97","VT","2001",612223
"98","VA","2001",7198362
"99","WA","2001",5985722
"100","WV","2001",1801481
"101","WI","2001",5406835
